,0,1,2,3,4,5,6,7,8,9,10,11,12
Oaxaca,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}","{'Link': 'https://www.informador.mx/mexico/Clima-Que-es-una-onda-de-calor-20250325-0065.html', 'Title': 'Clima: ¿Qué es una onda de calor?', 'Source': 'El Informador', 'Date': 'hace 10 horas'}","{'Link': 'https://www.viveusa.mx/noticias/clima-cdmx-y-valle-de-mexico-lluvias-y-posible-granizo-para-hoy-martes-25-de-marzo/', 'Title': 'Clima CDMX y Valle de México: Lluvias y posible granizo para hoy, martes 25 de marzo', 'Source': 'ViveUSA.mx', 'Date': 'hace 6 horas'}",,,,,,,,,,
Puebla,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}","{'Link': 'https://www.viveusa.mx/noticias/clima-cdmx-y-valle-de-mexico-lluvias-y-posible-granizo-para-hoy-martes-25-de-marzo/', 'Title': 'Clima CDMX y Valle de México: Lluvias y posible granizo para hoy, martes 25 de marzo', 'Source': 'ViveUSA.mx', 'Date': 'hace 6 horas'}",,,,,,,,,,,
Querétaro,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}","{'Link': 'https://www.viveusa.mx/noticias/clima-cdmx-y-valle-de-mexico-lluvias-y-posible-granizo-para-hoy-martes-25-de-marzo/', 'Title': 'Clima CDMX y Valle de México: Lluvias y posible granizo para hoy, martes 25 de marzo', 'Source': 'ViveUSA.mx', 'Date': 'hace 6 horas'}",,,,,,,,,,,
Quintana Roo,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}","{'Link': 'https://www.meteored.mx/clima_Surfontaine-Europa-Francia-Aisne--1-36723.html', 'Title': 'Clima en Surfontaine. El tiempo a 14 días', 'Source': 'Meteored.mx', 'Date': 'hace 9 horas'}","{'Link': 'https://www.meteored.mx/clima_Sofyino-Europa-Rusia-Oblast+de+Ulianovsk--1-253616.html', 'Title': 'Clima en Sofyino. El tiempo a 14 días', 'Source': 'Meteored.mx', 'Date': 'hace 9 horas'}",,,,,,,,,,
San Luis Potosí,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}","{'Link': 'https://www.viveusa.mx/noticias/clima-cdmx-y-valle-de-mexico-lluvias-y-posible-granizo-para-hoy-martes-25-de-marzo/', 'Title': 'Clima CDMX y Valle de México: Lluvias y posible granizo para hoy, martes 25 de marzo', 'Source': 'ViveUSA.mx', 'Date': 'hace 6 horas'}",,,,,,,,,,,
Sinaloa,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}",,,,,,,,,,,,
Sonora,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}",,,,,,,,,,,,
Tabasco,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}",,,,,,,,,,,,
Tamaulipas,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}",,,,,,,,,,,,
Tlaxcala,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}","{'Link': 'https://www.viveusa.mx/noticias/clima-cdmx-y-valle-de-mexico-lluvias-y-posible-granizo-para-hoy-martes-25-de-marzo/', 'Title': 'Clima CDMX y Valle de México: Lluvias y posible granizo para hoy, martes 25 de marzo', 'Source': 'ViveUSA.mx', 'Date': 'hace 6 horas'}",,,,,,,,,,,
Yucatán,"{'Link': 'https://www.informador.mx/mexico/Clima-HOY-Lluvias-y-vientos-fuertes-para-ESTOS-estados-20250325-0052.html', 'Title': 'Clima HOY: Lluvias y vientos fuertes para ESTOS estados', 'Source': 'El Informador', 'Date': 'hace 12 horas'}",,,,,,,,,,,,
